2025/06/28 09:43:09 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:10 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:12 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:14 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:18 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:24 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:38 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:04 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:45:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 10:39:57 [error] 52#52: *184 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-connection HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-connection", host: "localhost:8080"
2025/07/01 20:53:06 [warn] 25#25: *2284 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/01/0000000016 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/01 20:53:16 [warn] 23#23: *2338 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/01/0000000017 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/01 22:13:13 [warn] 22#22: *2530 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/01/0000000018 while reading upstream, client: 180.101.244.15, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 00:51:36 [warn] 24#24: *2936 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/01/0000000019 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 00:51:42 [warn] 23#23: *2978 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/02/0000000020 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 00:52:42 [warn] 23#23: *2994 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/02/0000000021 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 00:52:48 [warn] 22#22: *3038 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/02/0000000022 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 03:46:31 [warn] 24#24: *3429 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/02/0000000023 while reading upstream, client: 183.15.178.2, server: _, request: "GET /_next/static/chunks/app/page-e97fa1d7eb02594c.js HTTP/1.1", upstream: "http://172.20.0.6:5137/_next/static/chunks/app/page-e97fa1d7eb02594c.js", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 03:46:31 [warn] 24#24: *3436 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/02/0000000024 while reading upstream, client: 183.15.178.2, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 05:13:13 [warn] 23#23: *3647 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/02/0000000025 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 05:13:22 [warn] 22#22: *3690 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/02/0000000026 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 05:14:24 [warn] 25#25: *3703 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/02/0000000027 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 05:14:29 [warn] 24#24: *3751 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/02/0000000028 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 09:13:06 [warn] 22#22: *4295 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/02/0000000029 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 09:13:11 [warn] 25#25: *4337 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/03/0000000030 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 09:14:51 [warn] 25#25: *4356 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/03/0000000031 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 09:15:04 [warn] 24#24: *4399 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/03/0000000032 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 10:21:10 [warn] 23#23: *4564 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/03/0000000033 while reading upstream, client: 183.15.178.2, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 13:30:44 [warn] 24#24: *5029 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/03/0000000034 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 13:30:52 [warn] 23#23: *5076 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/03/0000000035 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
